target entry name	locus type
WeinellEntry2713	UCE
WeinellEntry2714	UCE
WeinellEntry2715	UCE
WeinellEntry2716	UCE
WeinellEntry2717	UCE
WeinellEntry2718	UCE
WeinellEntry2719	UCE
WeinellEntry2720	UCE
WeinellEntry2721	UCE
WeinellEntry2722	UCE
WeinellEntry2723	UCE
WeinellEntry2724	UCE
WeinellEntry2725	UCE
WeinellEntry2726	UCE
WeinellEntry2727	UCE
WeinellEntry2728	UCE
WeinellEntry2729	UCE
WeinellEntry2730	UCE
WeinellEntry2731	UCE
WeinellEntry2732	UCE
WeinellEntry2733	UCE
WeinellEntry2734	UCE
WeinellEntry2735	UCE
WeinellEntry2736	UCE
WeinellEntry2737	UCE
WeinellEntry2738	UCE
WeinellEntry2739	UCE
WeinellEntry2740	UCE
WeinellEntry2741	UCE
WeinellEntry2742	UCE
WeinellEntry2743	UCE
WeinellEntry2744	UCE
WeinellEntry2745	UCE
WeinellEntry2746	UCE
WeinellEntry2747	UCE
WeinellEntry2748	UCE
WeinellEntry2749	UCE
WeinellEntry2750	UCE
WeinellEntry2751	UCE
WeinellEntry2752	UCE
WeinellEntry2753	UCE
WeinellEntry2754	UCE
WeinellEntry2755	UCE
WeinellEntry2756	UCE
WeinellEntry2757	UCE
WeinellEntry2758	UCE
WeinellEntry2759	UCE
WeinellEntry2760	UCE
WeinellEntry2761	UCE
WeinellEntry2762	UCE
WeinellEntry2763	UCE
WeinellEntry2764	UCE
WeinellEntry2765	UCE
WeinellEntry2766	UCE
WeinellEntry2767	UCE
WeinellEntry2768	UCE
WeinellEntry2769	UCE
WeinellEntry2770	UCE
WeinellEntry2771	UCE
WeinellEntry2772	UCE
WeinellEntry2773	UCE
WeinellEntry2774	UCE
WeinellEntry2775	UCE
WeinellEntry2776	UCE
WeinellEntry2777	UCE
WeinellEntry2778	UCE
WeinellEntry2779	UCE
WeinellEntry2780	UCE
WeinellEntry2781	UCE
WeinellEntry2782	UCE
WeinellEntry2783	UCE
WeinellEntry2784	UCE
WeinellEntry2785	UCE
WeinellEntry2786	UCE
WeinellEntry2787	UCE
WeinellEntry2788	UCE
WeinellEntry2789	UCE
WeinellEntry2790	UCE
WeinellEntry2791	UCE
WeinellEntry2792	UCE
WeinellEntry2793	UCE
WeinellEntry2794	UCE
WeinellEntry2795	UCE
WeinellEntry2796	UCE
WeinellEntry2797	UCE
WeinellEntry2798	UCE
WeinellEntry2799	UCE
WeinellEntry2800	UCE
WeinellEntry2801	UCE
WeinellEntry2802	UCE
WeinellEntry2803	UCE
WeinellEntry2804	UCE
WeinellEntry2805	UCE
WeinellEntry2806	UCE
WeinellEntry2807	UCE
WeinellEntry2808	UCE
WeinellEntry2809	UCE
WeinellEntry2810	UCE
WeinellEntry2811	UCE
WeinellEntry2812	UCE
WeinellEntry2813	UCE
WeinellEntry2814	UCE
WeinellEntry2815	UCE
WeinellEntry2816	UCE
WeinellEntry2817	UCE
WeinellEntry2818	UCE
WeinellEntry2819	UCE
WeinellEntry2820	UCE
WeinellEntry2821	UCE
WeinellEntry2822	UCE
WeinellEntry2823	UCE
WeinellEntry2824	UCE
WeinellEntry2825	UCE
WeinellEntry2826	UCE
WeinellEntry2827	UCE
WeinellEntry2828	UCE
WeinellEntry2829	UCE
WeinellEntry2830	UCE
WeinellEntry2831	UCE
WeinellEntry2832	UCE
WeinellEntry2833	UCE
WeinellEntry2834	UCE
WeinellEntry2835	UCE
WeinellEntry2836	UCE
WeinellEntry2837	UCE
WeinellEntry2838	UCE
WeinellEntry2839	UCE
WeinellEntry2840	UCE
WeinellEntry2841	UCE
WeinellEntry2842	UCE
WeinellEntry2843	UCE
WeinellEntry2844	UCE
WeinellEntry2845	UCE
WeinellEntry2846	UCE
WeinellEntry2847	UCE
WeinellEntry2848	UCE
WeinellEntry2849	UCE
WeinellEntry2850	UCE
WeinellEntry2851	UCE
WeinellEntry2852	UCE
WeinellEntry2853	UCE
WeinellEntry2854	UCE
WeinellEntry2855	UCE
WeinellEntry2856	UCE
WeinellEntry2857	UCE
WeinellEntry2858	UCE
WeinellEntry2859	UCE
WeinellEntry2860	UCE
WeinellEntry2861	UCE
WeinellEntry2862	UCE
WeinellEntry2863	UCE
WeinellEntry2864	UCE
WeinellEntry2865	UCE
WeinellEntry2866	UCE
WeinellEntry2867	UCE
WeinellEntry2868	UCE
WeinellEntry2869	UCE
WeinellEntry2870	UCE
WeinellEntry2871	UCE
WeinellEntry2872	UCE
WeinellEntry2873	UCE
WeinellEntry2874	UCE
WeinellEntry2875	UCE
WeinellEntry2876	UCE
WeinellEntry2877	UCE
WeinellEntry2878	UCE
WeinellEntry2879	UCE
WeinellEntry2880	UCE
WeinellEntry2881	UCE
WeinellEntry2882	UCE
WeinellEntry2883	UCE
WeinellEntry2884	UCE
WeinellEntry2885	UCE
WeinellEntry2886	UCE
WeinellEntry2887	UCE
WeinellEntry2888	UCE
WeinellEntry2889	UCE
WeinellEntry2890	UCE
WeinellEntry2891	UCE
WeinellEntry2892	UCE
WeinellEntry2893	UCE
WeinellEntry2894	UCE
WeinellEntry2895	UCE
WeinellEntry2896	UCE
WeinellEntry2897	UCE
WeinellEntry2898	UCE
WeinellEntry2899	UCE
WeinellEntry2900	UCE
WeinellEntry2901	UCE
WeinellEntry2902	UCE
WeinellEntry2903	UCE
WeinellEntry2904	UCE
WeinellEntry2905	UCE
WeinellEntry2906	UCE
WeinellEntry2907	UCE
WeinellEntry2908	UCE
WeinellEntry2909	UCE
WeinellEntry2910	UCE
WeinellEntry2911	UCE
