seqsPerLocus samplesPerLocus
supergroup1344 7 7
supergroup1345 3 3
supergroup1346 7 7
supergroup1347 5 5
supergroup1348 6 6
supergroup1349 6 6
supergroup1350 17 15
supergroup1351 19 19
supergroup1352 32 29
supergroup1353 25 21
supergroup1354 9 9
supergroup1355 3 3
supergroup1356 12 12
supergroup1357 2 2
supergroup1358 43 28
supergroup1359 35 30
supergroup1360 3 3
supergroup1361 23 20
supergroup1362 3 3
supergroup1363 14 14
supergroup1364 18 18
supergroup1365 14 14
supergroup1366 55 29
supergroup1367 34 34
supergroup1368 4 4
supergroup1369 8 8
supergroup1370 43 34
supergroup1371 12 12
supergroup1372 5 5
supergroup1373 11 11
supergroup1374 21 19
supergroup1375 32 32
