seqsPerLocus samplesPerLocus
supergroup1376 6 6
supergroup1377 26 22
supergroup1379 4 4
supergroup1380 41 34
supergroup1381 5 5
supergroup1382 9 9
supergroup1383 4 4
supergroup1384 5 5
supergroup1385 4 4
supergroup1386 47 38
supergroup1387 4 4
supergroup1388 28 24
supergroup1389 10 10
supergroup1390 27 25
supergroup1391 24 24
supergroup1392 19 19
supergroup1393 2 2
supergroup1394 27 26
supergroup1395 28 26
supergroup1396 13 13
supergroup1397 3 3
supergroup1398 24 24
supergroup1399 3 3
supergroup1400 24 23
supergroup1401 20 20
supergroup1402 14 14
supergroup1403 30 22
supergroup1404 15 15
supergroup1405 42 41
supergroup1406 32 32
supergroup1407 11 11
supergroup1408 4 4
supergroup1409 11 11
supergroup1410 19 19
supergroup1411 28 27
supergroup1412 14 14
supergroup1413 4 4
supergroup1414 3 3
supergroup1415 31 24
supergroup1416 28 28
supergroup1417 35 29
supergroup1418 30 29
supergroup1419 2 2
supergroup1420 48 35
supergroup1421 21 21
supergroup1422 22 22
supergroup1423 9 9
supergroup1424 21 21
supergroup1425 29 28
supergroup1426 14 14
supergroup1427 7 7
supergroup1428 33 33
supergroup1429 6 6
supergroup1430 26 26
supergroup1431 13 13
supergroup1432 3 3
supergroup1433 14 13
supergroup1434 29 29
supergroup1435 3 3
supergroup1436 12 12
supergroup1437 9 9
supergroup1438 27 26
supergroup1439 17 17
supergroup1440 2 2
supergroup1441 12 12
supergroup1442 5 5
supergroup1443 34 33
supergroup1444 4 4
supergroup1445 24 19
supergroup1446 60 34
supergroup1447 37 24
supergroup1448 4 4
supergroup1450 18 17
supergroup1451 14 12
supergroup1452 3 3
supergroup1453 3 3
supergroup1454 9 9
supergroup1455 24 23
supergroup1456 4 4
supergroup1457 7 6
supergroup1458 21 21
supergroup1459 44 44
supergroup1460 36 24
supergroup1461 25 21
supergroup1462 67 39
supergroup1463 10 10
supergroup1464 44 43
supergroup1465 4 4
supergroup1466 5 5
supergroup1467 22 22
supergroup1468 3 3
supergroup1469 27 27
supergroup1470 16 16
supergroup1471 17 17
supergroup1472 16 16
supergroup1473 4 4
supergroup1474 29 28
supergroup1475 3 3
supergroup1476 37 35
supergroup1478 2 2
supergroup1479 26 26
supergroup1480 4 4
supergroup1481 24 24
supergroup1482 25 25
supergroup1483 26 26
supergroup1484 5 5
supergroup1485 15 15
supergroup1486 6 6
supergroup1487 22 22
supergroup1488 2 2
supergroup1489 4 4
supergroup1490 10 10
supergroup1491 37 36
supergroup1492 4 4
supergroup1493 3 3
supergroup1494 54 31
supergroup1495 4 4
supergroup1496 15 12
supergroup1497 12 12
supergroup1498 4 4
supergroup1499 7 7
supergroup1500 3 3
supergroup1501 15 15
supergroup1503 2 2
supergroup1504 49 28
supergroup1505 33 27
supergroup1506 20 20
supergroup1507 7 7
supergroup1508 45 24
supergroup1509 13 13
supergroup1510 28 28
supergroup1511 19 19
supergroup1512 3 3
supergroup1513 10 10
supergroup1514 36 33
supergroup1515 5 5
supergroup1516 4 4
supergroup1517 44 24
supergroup1518 2 2
supergroup1519 73 31
supergroup1520 4 4
supergroup1521 26 26
supergroup1522 21 21
supergroup1523 9 9
supergroup1524 19 19
supergroup1525 3 3
supergroup1526 32 28
supergroup1527 23 23
supergroup1528 23 23
supergroup1529 10 10
supergroup1530 7 7
supergroup1531 3 3
supergroup1532 44 28
supergroup1533 17 16
supergroup1534 21 21
supergroup1535 2 2
supergroup1536 4 4
supergroup1537 11 11
supergroup1538 16 16
supergroup1539 23 22
supergroup1540 4 4
supergroup1541 23 22
supergroup1542 12 12
supergroup1543 3 3
supergroup1544 6 6
supergroup1545 26 26
supergroup1546 18 18
supergroup1547 4 4
supergroup1548 20 20
supergroup1549 4 4
supergroup1550 15 15
supergroup1551 23 22
supergroup1552 41 32
supergroup1553 8 8
supergroup1554 18 18
supergroup1555 15 14
supergroup1556 12 12
supergroup1557 10 10
supergroup1558 33 33
supergroup1559 17 17
supergroup1560 39 38
supergroup1561 15 15
supergroup1562 14 14
supergroup1563 18 18
supergroup1564 6 6
supergroup1565 16 15
supergroup1566 19 19
supergroup1567 39 39
supergroup1568 17 17
supergroup1569 17 17
supergroup1570 26 25
supergroup1571 25 25
supergroup1572 5 5
supergroup1573 50 49
supergroup1574 17 17
supergroup1575 18 18
supergroup1576 28 27
supergroup1577 8 8
supergroup1578 10 10
supergroup1579 31 29
supergroup1580 29 22
supergroup1581 4 4
supergroup1582 4 4
supergroup1583 15 15
supergroup1584 5 5
supergroup1585 36 28
supergroup1586 3 3
supergroup1587 17 17
supergroup1588 13 13
supergroup1589 2 2
supergroup1590 7 7
supergroup1591 21 21
supergroup1592 26 25
supergroup1593 4 4
supergroup1594 10 8
supergroup1595 21 21
supergroup1596 28 28
supergroup1597 2 2
supergroup1598 12 12
supergroup1599 20 20
supergroup1600 3 3
supergroup1601 4 4
supergroup1602 26 24
supergroup1603 22 22
supergroup1604 24 24
supergroup1605 18 18
supergroup1606 26 26
supergroup1607 19 19
supergroup1608 25 23
supergroup1609 3 3
supergroup1610 10 10
supergroup1611 20 20
supergroup1612 3 3
supergroup1613 19 19
supergroup1614 28 28
supergroup1615 19 18
supergroup1616 14 13
supergroup1617 21 21
supergroup1618 3 3
supergroup1619 30 28
supergroup1620 26 26
supergroup1621 16 16
supergroup1622 2 2
supergroup1623 6 6
supergroup1624 3 3
supergroup1625 4 4
supergroup1626 3 3
supergroup1627 4 4
supergroup1628 11 11
supergroup1629 4 4
supergroup1630 27 27
supergroup1631 4 4
supergroup1632 16 16
supergroup1633 32 31
supergroup1634 3 3
supergroup1635 11 11
supergroup1636 37 37
supergroup1637 12 12
supergroup1638 3 3
supergroup1639 21 21
supergroup1640 18 16
supergroup1641 18 17
supergroup1642 44 36
supergroup1643 13 13
supergroup1644 3 3
supergroup1645 2 2
supergroup1646 22 22
supergroup1647 4 4
supergroup1648 48 46
supergroup1649 33 30
supergroup1650 10 10
supergroup1651 13 13
supergroup1652 4 4
supergroup1653 2 2
supergroup1654 4 4
supergroup1655 3 3
supergroup1656 16 16
supergroup1657 20 20
supergroup1658 11 10
supergroup1659 3 3
supergroup1660 36 24
supergroup1661 57 41
supergroup1662 22 22
supergroup1663 17 17
supergroup1664 4 4
supergroup1665 4 4
supergroup1666 28 19
supergroup1667 10 10
supergroup1668 25 25
supergroup1669 26 25
supergroup1670 2 2
supergroup1671 13 10
supergroup1672 3 3
supergroup1673 3 3
supergroup1674 21 20
supergroup1675 29 25
supergroup1676 6 6
supergroup1677 19 18
supergroup1678 42 28
supergroup1679 10 9
supergroup1680 3 3
supergroup1681 8 8
supergroup1682 18 18
supergroup1683 3 3
supergroup1684 11 11
supergroup1685 3 3
supergroup1686 5 5
supergroup1687 11 10
supergroup1688 6 5
supergroup1689 25 22
supergroup1690 7 7
supergroup1691 2 2
supergroup1692 17 17
supergroup1693 16 16
supergroup1694 11 11
supergroup1695 16 16
supergroup1696 13 13
supergroup1697 16 16
supergroup1698 4 4
supergroup1699 4 4
supergroup1700 67 59
supergroup1701 4 4
supergroup1702 18 18
supergroup1703 4 4
supergroup1704 14 14
supergroup1705 4 4
supergroup1706 40 37
supergroup1707 30 30
supergroup1708 20 20
supergroup1709 15 15
supergroup1710 42 41
supergroup1711 4 4
supergroup1712 11 11
supergroup1713 26 19
supergroup1714 13 13
supergroup1715 32 32
supergroup1716 80 28
supergroup1717 4 4
supergroup1718 72 32
supergroup1719 3 3
supergroup1720 5 5
supergroup1721 49 49
supergroup1722 44 28
supergroup1723 16 16
supergroup1724 5 5
supergroup1725 21 21
supergroup1726 15 14
supergroup1727 122 30
supergroup1728 2 2
supergroup1729 20 20
supergroup1730 21 16
supergroup1731 23 16
supergroup1732 45 31
supergroup1733 20 20
supergroup1734 3 3
supergroup1735 22 22
supergroup1736 28 20
supergroup1737 3 3
supergroup1738 57 32
supergroup1739 10 9
supergroup1740 4 4
supergroup1741 30 30
supergroup1742 45 45
supergroup1743 17 17
supergroup1744 23 22
supergroup1745 69 52
supergroup1746 3 3
supergroup1747 16 16
supergroup1748 33 28
supergroup1749 4 3
supergroup1750 43 27
supergroup1751 3 3
supergroup1752 32 27
supergroup1753 3 3
supergroup1754 48 33
supergroup1755 82 29
supergroup1756 3 3
supergroup1757 36 24
supergroup1758 19 17
supergroup1759 14 14
supergroup1760 12 11
supergroup1761 4 4
supergroup1762 3 3
supergroup1763 28 24
supergroup1764 4 3
supergroup1765 7 7
supergroup1766 34 27
supergroup1767 33 33
supergroup1768 5 5
supergroup1769 7 7
supergroup1770 7 4
supergroup1771 34 30
supergroup1772 35 35
supergroup1773 2 2
supergroup1774 4 4
supergroup1775 4 3
supergroup1776 42 32
supergroup1777 3 3
supergroup1778 16 16
supergroup1779 3 3
supergroup1780 38 26
supergroup1781 11 11
supergroup1782 5 5
supergroup1783 2 2
supergroup1784 2 2
supergroup1785 30 23
supergroup1786 3 3
supergroup1787 3 3
supergroup1788 4 4
supergroup1789 8 8
supergroup1790 4 4
supergroup1791 5 5
supergroup1792 5 3
supergroup1793 4 4
supergroup1794 4 4
supergroup1795 6 6
supergroup1796 23 23
supergroup1797 3 3
supergroup1798 3 3
supergroup1799 3 3
supergroup1800 2 2
supergroup1801 32 32
supergroup1802 14 14
supergroup1803 3 2
supergroup1804 5 4
supergroup1805 5 5
supergroup1806 14 14
supergroup1807 34 32
supergroup1808 27 27
supergroup1809 19 19
supergroup1810 30 27
supergroup1811 4 4
supergroup1812 90 51
supergroup1813 45 27
supergroup1814 27 24
supergroup1815 3 3
supergroup1816 4 4
supergroup1817 25 23
supergroup1818 3 3
supergroup1819 140 32
supergroup1820 7 7
supergroup1821 4 4
supergroup1822 29 24
supergroup1823 4 4
supergroup1824 19 19
supergroup1825 6 6
supergroup1826 15 15
supergroup1827 48 46
supergroup1828 41 24
supergroup1829 2 2
supergroup1830 13 12
supergroup1831 3 3
supergroup1832 3 3
supergroup1833 57 51
supergroup1834 18 18
supergroup1835 3 3
supergroup1836 2 2
supergroup1837 21 15
supergroup1838 27 27
supergroup1839 66 55
supergroup1840 4 4
supergroup1841 4 4
supergroup1842 21 17
supergroup1843 20 20
supergroup1844 5 3
supergroup1845 5 4
supergroup1846 12 12
supergroup1847 2 2
supergroup1848 2 2
supergroup1849 31 31
supergroup1850 25 24
supergroup1851 9 9
supergroup1852 5 5
supergroup1853 2 2
supergroup1854 4 4
supergroup1855 5 5
supergroup1856 20 13
supergroup1857 32 19
supergroup1858 3 3
supergroup1859 48 29
supergroup1860 6 6
supergroup1861 3 3
supergroup1862 2 2
supergroup1863 17 16
supergroup1864 48 31
supergroup1865 4 4
supergroup1866 24 24
supergroup1867 20 20
supergroup1868 4 4
supergroup1869 15 15
supergroup1870 24 22
supergroup1871 33 29
supergroup1872 4 4
supergroup1873 32 28
supergroup1874 3 3
supergroup1875 3 3
supergroup1876 32 30
supergroup1877 23 23
supergroup1878 2 2
supergroup1879 24 24
supergroup1880 21 21
supergroup1881 2 2
supergroup1882 62 25
supergroup1883 3 3
supergroup1884 3 3
supergroup1885 4 4
supergroup1886 23 23
supergroup1887 2 2
supergroup1888 25 25
supergroup1889 23 23
supergroup1890 3 3
supergroup1891 15 14
supergroup1892 13 13
supergroup1893 4 4
supergroup1894 38 27
supergroup1895 6 6
supergroup1896 4 4
supergroup1897 4 3
supergroup1898 8 8
supergroup1899 3 3
supergroup1900 2 2
supergroup1901 20 19
supergroup1902 3 3
supergroup1903 4 4
supergroup1904 4 4
supergroup1905 2 2
supergroup1906 54 52
supergroup1907 2 2
supergroup1908 35 21
supergroup1909 2 2
supergroup1910 5 5
supergroup1911 30 30
supergroup1912 2 2
supergroup1913 5 5
supergroup1914 27 25
supergroup1915 28 21
supergroup1916 20 20
supergroup1917 28 28
supergroup1918 3 3
supergroup1919 23 23
supergroup1920 4 4
supergroup1921 4 4
supergroup1922 4 4
supergroup1923 3 3
supergroup1924 25 25
supergroup1925 17 17
supergroup1926 4 4
supergroup1927 3 3
supergroup1928 24 22
supergroup1929 3 3
supergroup1930 58 29
supergroup1931 33 26
supergroup1932 7 4
supergroup1933 68 29
supergroup1934 20 20
supergroup1935 3 3
supergroup1936 4 4
supergroup1937 4 3
supergroup1938 4 4
supergroup1939 28 24
supergroup1940 6 5
supergroup1941 3 3
supergroup1942 38 34
supergroup1943 37 30
supergroup1944 3 3
supergroup1945 3 3
supergroup1946 5 5
supergroup1947 4 4
supergroup1948 23 23
supergroup1949 22 19
supergroup1950 5 4
supergroup1951 2 2
supergroup1952 3 3
supergroup1953 3 3
supergroup1954 13 12
supergroup1955 4 4
supergroup1956 3 3
supergroup1957 33 32
supergroup1958 3 3
supergroup1959 4 4
supergroup1960 3 3
supergroup1961 5 5
supergroup1962 3 3
supergroup1963 26 26
supergroup1964 10 6
supergroup1965 3 3
supergroup1966 14 12
supergroup1967 24 24
supergroup1968 8 8
supergroup1969 11 10
supergroup1970 26 13
supergroup1971 26 26
supergroup1972 2 2
supergroup1973 3 3
supergroup1974 14 14
supergroup1975 8 8
supergroup1976 2 2
supergroup1977 24 23
supergroup1978 5 5
supergroup1979 2 2
supergroup1980 3 3
supergroup1981 3 3
supergroup1982 6 6
supergroup1983 2 2
supergroup1984 19 19
supergroup1985 3 3
supergroup1986 2 2
supergroup1987 2 2
supergroup1988 28 24
supergroup1989 3 3
supergroup1990 27 27
supergroup1991 4 4
supergroup1992 16 16
supergroup1993 2 2
supergroup1994 29 29
supergroup1995 6 6
supergroup1996 3 3
supergroup1997 13 11
supergroup1998 9 9
supergroup1999 3 3
supergroup2000 40 40
supergroup2001 2 2
supergroup2002 4 4
supergroup2003 2 2
supergroup2004 38 36
supergroup2005 11 11
supergroup2006 2 2
supergroup2007 3 3
supergroup2008 2 2
supergroup2009 3 3
supergroup2010 33 31
supergroup2011 4 4
supergroup2012 9 9
supergroup2013 2 2
supergroup2014 3 3
supergroup2015 3 3
supergroup2016 7 6
supergroup2017 24 23
supergroup2018 30 30
supergroup2019 22 22
supergroup2020 3 3
supergroup2021 15 7
supergroup2022 4 4
supergroup2023 2 2
supergroup2024 33 33
supergroup2025 23 23
supergroup2026 3 3
supergroup2027 30 30
seqsPerLocus samplesPerLocus
supergroup2028 20 18
supergroup2029 5 5
supergroup2030 40 26
supergroup2031 2 2
supergroup2032 3 3
supergroup2033 26 26
supergroup2034 2 2
supergroup2035 2 2
supergroup2036 9 9
supergroup2037 48 34
supergroup2038 38 26
supergroup2039 9 7
supergroup2040 2 2
supergroup2041 5 5
supergroup2042 10 4
supergroup2043 3 3
supergroup2044 35 19
supergroup2045 3 3
supergroup2046 20 16
supergroup2047 31 30
supergroup2048 20 20
supergroup2049 2 2
supergroup2050 3 3
supergroup2051 12 12
supergroup2052 12 12
supergroup2053 5 5
supergroup2054 24 24
supergroup2055 28 28
supergroup2056 5 4
supergroup2057 4 4
supergroup2058 3 3
supergroup2059 3 3
supergroup2060 9 9
supergroup2061 3 3
supergroup2062 2 2
supergroup2063 42 29
supergroup2064 2 2
supergroup2065 2 2
supergroup2066 4 4
supergroup2067 65 27
supergroup2068 4 4
supergroup2069 16 16
supergroup2070 4 4
supergroup2071 4 4
supergroup2072 23 21
supergroup2073 8 8
supergroup2074 23 22
supergroup2075 14 14
supergroup2076 5 5
supergroup2077 5 5
supergroup2078 3 3
supergroup2079 22 22
supergroup2080 16 16
supergroup2081 5 5
supergroup2082 17 16
supergroup2083 39 39
supergroup2084 15 15
supergroup2085 2 2
supergroup2086 5 3
supergroup2087 2 2
supergroup2088 16 16
supergroup2089 2 2
supergroup2090 37 31
supergroup2091 6 5
supergroup2092 2 2
supergroup2093 2 2
supergroup2094 32 32
supergroup2095 3 3
supergroup2096 2 2
supergroup2097 6 6
supergroup2098 2 2
supergroup2099 2 2
supergroup2100 6 6
supergroup2101 6 6
supergroup2102 10 10
supergroup2103 3 3
supergroup2104 3 3
supergroup2105 40 40
supergroup2106 20 15
supergroup2107 14 14
supergroup2108 3 3
supergroup2109 2 2
supergroup2110 2 2
supergroup2111 3 3
supergroup2112 6 5
supergroup2113 3 3
supergroup2114 5 5
supergroup2115 50 32
supergroup2116 3 3
supergroup2117 2 2
supergroup2118 2 2
supergroup2119 7 7
supergroup2120 39 32
supergroup2121 9 9
supergroup2122 50 29
supergroup2123 28 28
supergroup2124 30 30
supergroup2125 2 2
supergroup2126 2 2
supergroup2127 3 3
supergroup2128 19 19
supergroup2129 3 3
supergroup2130 3 3
supergroup2131 3 3
supergroup2132 2 2
supergroup2133 3 3
supergroup2134 29 23
supergroup2135 2 2
supergroup2136 48 46
supergroup2137 3 3
supergroup2138 2 2
supergroup2139 34 30
supergroup2140 6 6
supergroup2141 4 4
supergroup2142 47 46
supergroup2143 4 4
supergroup2144 2 2
supergroup2145 4 4
supergroup2146 2 2
supergroup2147 15 15
supergroup2148 3 3
supergroup2149 2 2
supergroup2150 28 23
supergroup2151 8 7
supergroup2152 6 6
supergroup2153 2 2
supergroup2154 3 3
supergroup2155 5 5
supergroup2156 16 16
supergroup2158 31 24
supergroup2159 20 20
supergroup2160 11 11
supergroup2161 10 10
supergroup2162 6 6
supergroup2163 2 2
supergroup2164 59 56
supergroup2165 30 20
supergroup2166 3 3
supergroup2167 30 29
supergroup2168 2 2
supergroup2169 18 18
supergroup2170 2 2
supergroup2171 29 19
supergroup2172 3 3
supergroup2174 7 7
supergroup2175 2 2
supergroup2176 3 3
supergroup2177 6 6
supergroup2178 3 3
supergroup2179 2 2
supergroup2180 2 2
supergroup2181 34 22
supergroup2182 2 2
supergroup2183 30 30
supergroup2184 5 5
supergroup2185 3 3
supergroup2186 7 6
supergroup2187 17 17
supergroup2188 6 6
supergroup2189 4 4
supergroup2190 6 6
supergroup2191 4 4
supergroup2192 44 26
supergroup2193 2 2
supergroup2194 3 3
supergroup2195 29 28
supergroup2196 11 11
supergroup2197 4 4
supergroup2198 24 24
supergroup2199 23 21
supergroup2200 2 2
supergroup2201 13 13
supergroup2202 2 2
supergroup2203 5 5
supergroup2204 7 7
supergroup2205 2 2
supergroup2206 24 24
supergroup2207 24 24
supergroup2208 3 3
supergroup2209 11 7
supergroup2210 12 12
supergroup2211 89 25
supergroup2212 4 4
supergroup2213 26 26
supergroup2214 20 19
supergroup2215 27 26
supergroup2216 5 5
supergroup2217 6 6
supergroup2218 2 2
supergroup2219 3 3
supergroup2220 3 3
supergroup2221 2 2
supergroup2222 4 4
supergroup2223 3 3
supergroup2224 12 12
supergroup2225 8 8
supergroup2226 8 8
supergroup2227 12 10
supergroup2228 27 27
supergroup2229 66 43
supergroup2230 2 2
supergroup2231 22 20
supergroup2232 4 4
supergroup2233 3 3
supergroup2234 8 8
supergroup2235 9 9
supergroup2236 3 3
supergroup2237 21 18
supergroup2238 20 20
supergroup2239 3 3
supergroup2240 13 13
supergroup2241 5 5
supergroup2242 5 5
supergroup2243 27 25
supergroup2244 3 3
supergroup2245 4 4
supergroup2246 3 3
supergroup2247 47 45
supergroup2248 44 28
supergroup2249 17 17
supergroup2250 2 2
supergroup2251 4 4
supergroup2252 6 6
supergroup2253 5 5
supergroup2254 2 2
supergroup2255 16 15
supergroup2256 28 28
supergroup2257 21 19
supergroup2258 5 5
supergroup2259 3 3
supergroup2260 2 2
supergroup2261 3 3
supergroup2262 2 2
supergroup2263 3 3
supergroup2264 2 2
supergroup2265 3 3
supergroup2266 2 2
supergroup2267 3 3
supergroup2268 3 3
supergroup2269 4 4
supergroup2270 2 2
supergroup2271 48 30
